V1,V2,V3,V4,V5,V6,V7,V8,grid
1,7,1,1,20.075,118,S,0,1
1,11,1,2,20.125,118,S,0,2
1,15,1,3,20.175,118,S,0,3
1,19,1,4,20.225,118,S,0,4
1,23,1,5,20.275,118,S,0,5
1,27,1,6,20.325,118,S,0,6
1,31,1,7,20.375,118,S,0,7
1,35,1,8,20.425,118,S,0,8
1,39,1,9,20.475,118,S,0,9
1,43,1,10,20.525,118,S,0,10
1,47,1,11,20.575,118,S,0,11
1,51,1,12,20.625,118,S,0,12
1,55,1,13,20.675,118,S,0,13
1,59,1,14,20.725,118,S,0,14
1,63,1,15,20.775,118,S,0,15
1,67,1,16,20.825,118,S,0,16
1,71,1,17,20.875,118,S,0,17
1,75,1,18,20.925,118,S,0,18
1,79,1,19,20.975,118,S,0,19
1,83,1,20,21.025,118,S,0,20
1,87,1,21,21.075,118,S,0,21
1,91,1,22,21.125,118,S,0,22
1,95,1,23,21.175,118,S,0,23
1,99,1,24,21.225,118,S,0,24
1,103,1,25,21.275,118,S,0,25
1,107,1,26,21.325,118,S,0,26
1,111,1,27,21.375,118,S,0,27
1,115,1,28,21.425,118,S,0,28
1,119,1,29,21.475,118,S,0,29
1,123,1,30,21.525,118,S,0,30
1,127,1,31,21.575,118,S,0,31
1,131,1,32,21.625,118,S,0,32
1,135,1,33,21.675,118,S,0,33
1,139,1,34,21.725,118,S,0,34
1,143,1,35,21.775,118,S,0,35
1,147,1,36,21.825,118,S,0,36
1,151,1,37,21.875,118,S,0,37
1,155,1,38,21.925,118,S,0,38
1,159,1,39,21.975,118,S,0,39
1,163,1,40,22.025,118,S,0,40
1,167,1,41,22.075,118,S,0,41
1,171,1,42,22.125,118,S,0,42
1,175,1,43,22.175,118,S,0,43
1,179,1,44,22.225,118,S,0,44
1,183,1,45,22.275,118,S,0,45
1,187,1,46,22.325,118,S,0,46
1,191,1,47,22.375,118,S,0,47
1,195,1,48,22.425,118,S,0,48
1,199,1,49,22.475,118,S,0,49
1,203,1,50,22.525,118,S,0,50
1,207,1,51,22.575,118,S,0,51
1,211,1,52,22.625,118,S,0,52
1,215,1,53,22.675,118,S,0,53
1,219,1,54,22.725,118,S,0,54
1,223,1,55,22.775,118,S,0,55
1,227,1,56,22.825,118,S,0,56
1,231,1,57,22.875,118,S,0,57
1,235,1,58,22.925,118,S,0,58
1,239,1,59,22.975,118,S,0,59
1,243,1,60,23.025,118,S,0,60
1,247,1,61,23.075,118,S,0,61
1,251,1,62,23.125,118,S,0,62
1,255,1,63,23.175,118,S,0,63
1,259,1,64,23.225,118,S,0,64
1,263,1,65,23.275,118,S,0,65
1,267,1,66,23.325,118,S,0,66
1,271,1,67,23.375,118,S,0,67
1,275,1,68,23.425,118,S,0,68
1,279,1,69,23.475,118,S,0,69
1,283,1,70,23.525,118,S,0,70
1,287,1,71,23.575,118,S,0,71
1,291,1,72,23.625,118,S,0,72
1,295,1,73,23.675,118,S,0,73
1,299,1,74,23.725,118,S,0,74
1,303,1,75,23.775,118,S,0,75
1,307,1,76,23.825,118,S,0,76
1,311,1,77,23.875,118,S,0,77
1,315,1,78,23.925,118,S,0,78
1,319,1,79,23.975,118,S,0,79
1,323,1,80,24.025,118,S,0,80
1,327,1,81,24.075,118,S,0,81
1,331,1,82,24.125,118,S,0,82
1,335,1,83,24.175,118,S,0,83
1,339,1,84,24.225,118,S,0,84
1,343,1,85,24.275,118,S,0,85
1,347,1,86,24.325,118,S,0,86
