Time,Lat,Lon,hPa,Direction,Speed,Max_wind1,Max_wind2,Radius_7,Radius_10
80518,20.1,131.5,938,276,19,45,55,250,80
80600,20.4,130.2,938,284,23,45,55,250,80
80606,20.8,129.3,930,296,17,48,58,280,100
80612,21.2,128,930,289,24,48,58,280,100
80618,21.5,126.8,930,286,22,48,58,300,100
80700,21.9,125.7,930,292,21,48,58,300,100
80706,22.4,124.8,930,301,18,48,58,300,100
80712,22.9,123.8,930,300,20,48,58,300,100
80718,23.7,122.6,930,307,25,48,58,300,100
80800,23.7,120.4,940,270,41,45,55,300,100
80806,23.8,119.8,960,280,10,38,48,300,100
80812,25,119.7,960,356,23,38,48,300,100
80818,25.7,118.2,970,293,22,33,43,280,80
80900,25.9,117.5,985,289,13,25,33,200,
80906,26.8,116.8,992,332,10,20,28,150,
